actor_lr,rollout/ep_steps,critic_lr,time_elapsed,epoch,total_rollout_steps,rollout/return
0.0001,200.0,0.0001,310.6281383037567,108,21800,-78.49671395613012,,,,,,,2.4312034,0.013845419
0.0001,200.0,0.0001,313.7571687698364,109,22000,-78.12268958600468,,,,,,,2.4845567,0.013315598
0.0001,200.0,0.0001,316.88378405570984,110,22200,-78.4721776801377,,,,,,,2.5327957,0.01394741
0.0001,200.0,0.0001,319.98711347579956,111,22400,-78.04634634603632,,,,,,,2.493004,0.01315918
0.0001,200.0,0.0001,322.80617475509644,112,22600,-78.354547986353,,,,,,,2.661121,0.0145166265
0.0001,200.0,0.0001,325.8681354522705,113,22800,-78.31286375395985,,,,,,,2.591336,0.014946499
0.0001,200.0,0.0001,328.9922776222229,114,23000,-78.42745708775766,,,,,,,2.6093812,0.014750589
0.0001,200.0,0.0001,332.111540555954,115,23200,-78.01461778275903,,,,,,,2.7647521,0.016135717
0.0001,200.0,0.0001,335.1456708908081,116,23400,-78.31043694170276,,,,,,,2.727261,0.014225091
0.0001,200.0,0.0001,338.24977350234985,117,23600,-77.91553431277002,,,,,,,2.774198,0.015332891
0.0001,200.0,0.0001,341.38990592956543,118,23800,-78.263283765229,,,,,,,2.7903695,0.014286748
0.0001,200.0,0.0001,344.50150442123413,119,24000,-78.46072526402105,,,,,,,2.9254816,0.014054128
0.0001,200.0,0.0001,347.6129240989685,120,24200,-78.41469815470552,,,,,,,2.881084,0.014329858
0.0001,200.0,0.0001,350.7192108631134,121,24400,-78.15690823628783,,,,,,,3.0928063,0.014516877
0.0001,200.0,0.0001,353.71369910240173,122,24600,-77.81462342756251,,,,,,,2.9941425,0.016003482
0.0001,200.0,0.0001,356.75921297073364,123,24800,-77.95039744863973,,,,,,,2.9679022,0.014752074
0.0001,200.0,0.0001,359.8814101219177,124,25000,-78.23915323520393,,,,,,,3.1566248,0.016406002
0.0001,200.0,0.0001,362.8855516910553,125,25200,-78.24279386762964,,,,,,,3.106373,0.014243798
0.0001,200.0,0.0001,365.9171953201294,126,25400,-78.13997102577423,,,,,,,3.1814556,0.016917976
0.0001,200.0,0.0001,368.9351165294647,127,25600,-78.77847505316112,,,,,,,3.3132129,0.01702094
0.0001,200.0,0.0001,371.89563179016113,128,25800,-78.56035812404379,,,,,,,3.2586758,0.015340682
0.0001,200.0,0.0001,374.9756166934967,129,26000,-77.46627392440779,,,,,,,3.3459454,0.013977535
0.0001,200.0,0.0001,378.02661538124084,130,26200,-77.62907445525639,,,,,,,3.3156967,0.015721254
0.0001,200.0,0.0001,381.04104018211365,131,26400,-78.13581108300771,,,,,,,3.3302026,0.015653607
0.0001,200.0,0.0001,384.0428328514099,132,26600,-78.01584093768872,,,,,,,3.357633,0.014112424
0.0001,200.0,0.0001,387.1245610713959,133,26800,-77.94277076631894,,,,,,,3.4077117,0.016049117
0.0001,200.0,0.0001,390.2435636520386,134,27000,-77.50761103451401,,,,,,,3.4430356,0.01755164
0.0001,200.0,0.0001,393.3768267631531,135,27200,-77.84070160370419,,,,,,,3.5389032,0.015281706
0.0001,200.0,0.0001,396.4909222126007,136,27400,-78.21879091148001,,,,,,,3.4723978,0.013950566
0.0001,200.0,0.0001,399.5861105918884,137,27600,-78.17068002985219,,,,,,,3.5802066,0.017507104
0.0001,200.0,0.0001,402.6350975036621,138,27800,-78.85173081255645,,,,,,,3.662373,0.01505695
0.0001,200.0,0.0001,405.63696098327637,139,28000,-77.85760743512084,,,,,,,3.5217762,0.016444197
0.0001,200.0,0.0001,408.6536569595337,140,28200,-77.75780685977433,,,,,,,3.663877,0.015245909
0.0001,200.0,0.0001,411.70723271369934,141,28400,-78.02141364161434,,,,,,,3.7114162,0.016595848
0.0001,200.0,0.0001,414.8230195045471,142,28600,-78.13252815501693,,,,,,,3.5968869,0.016502732
0.0001,200.0,0.0001,417.83026123046875,143,28800,-78.27013333625318,,,,,,,3.8026829,0.015888937
0.0001,200.0,0.0001,420.93789315223694,144,29000,-77.55136233681047,,,,,,,3.817405,0.014617178
0.0001,200.0,0.0001,424.0644121170044,145,29200,-78.1972097727206,,,,,,,3.8567278,0.014822778
0.0001,200.0,0.0001,427.1169364452362,146,29400,-78.25240156007241,,,,,,,3.8892484,0.016049128
0.0001,200.0,0.0001,430.2374289035797,147,29600,-78.46356810784268,,,,,,,3.9521303,0.018208936
0.0001,200.0,0.0001,433.3958613872528,148,29800,-77.907191563833,,,,,,,3.9410763,0.017237563
0.0001,200.0,0.0001,436.4929096698761,149,30000,-79.47186943435813,,,,,,,4.052953,0.015286177
0.0001,200.0,0.0001,439.57494711875916,150,30200,-78.26894408926306,,,,,,,4.0331945,0.016264142
0.0001,200.0,0.0001,442.6974070072174,151,30400,-77.74219786321476,,,,,,,3.9647965,0.016615085
0.0001,200.0,0.0001,445.8232934474945,152,30600,-78.27558140964436,,,,,,,4.1580443,0.014527692
0.0001,200.0,0.0001,448.9309196472168,153,30800,-77.87992461579496,,,,,,,4.110232,0.013964474
0.0001,200.0,0.0001,452.01037669181824,154,31000,-78.14169227359723,,,,,,,4.036025,0.01793444
0.0001,200.0,0.0001,455.0295615196228,155,31200,-78.32598143260324,,,,,,,4.0959105,0.014252472
0.0001,200.0,0.0001,458.2003996372223,156,31400,-77.90224129966074,,,,,,,4.2012615,0.01505621
0.0001,200.0,0.0001,461.3292119503021,157,31600,-77.79990843031626,,,,,,,4.2224627,0.015516732
0.0001,200.0,0.0001,464.453914642334,158,31800,-78.13695505992264,,,,,,,4.218831,0.014877758
0.0001,200.0,0.0001,467.54793095588684,159,32000,-78.24670317034135,,,,,,,4.3352385,0.015981149
0.0001,200.0,0.0001,470.615784406662,160,32200,-77.78696677091578,,,,,,,4.4210095,0.016783359
0.0001,200.0,0.0001,473.70258951187134,161,32400,-77.93956102788894,,,,,,,4.264321,0.017009053
0.0001,200.0,0.0001,476.7485673427582,162,32600,-77.98604726940088,,,,,,,4.352896,0.018470354
0.0001,200.0,0.0001,479.8824188709259,163,32800,-78.29931122419728,,,,,,,4.409358,0.016359149
0.0001,200.0,0.0001,482.96746730804443,164,33000,-78.07581695050905,,,,,,,4.425754,0.016083166
0.0001,200.0,0.0001,486.0942647457123,165,33200,-78.27268556510708,,,,,,,4.3265367,0.015156452
0.0001,200.0,0.0001,489.2207269668579,166,33400,-78.02443821711314,,,,,,,4.5286837,0.014280193
