epoch,actor_lr,time_elapsed,rollout/return,critic_lr,total_rollout_steps,rollout/ep_steps
88,0.0001,106.8739914894104,-313.83433829046817,0.0001,17800,200.0,,,,,,4.332098,6.332877
89,0.0001,108.45176529884338,-312.5997076161368,0.0001,18000,200.0,,,,,,4.357726,6.258177
90,0.0001,110.03752851486206,-312.33628526809656,0.0001,18200,200.0,,,,,,4.396727,6.3328276
91,0.0001,111.73798370361328,-315.5904021992303,0.0001,18400,200.0,,,,,,4.403386,6.283002
92,0.0001,112.84804558753967,-281.4476611833989,0.0001,18600,200.0,,,,,,4.484097,6.524679
93,0.0001,113.94807815551758,-313.0241968382841,0.0001,18800,200.0,,,,,,4.501451,6.425424
94,0.0001,115.5348379611969,-312.28816614561845,0.0001,19000,200.0,,,,,,4.4801345,6.506964
95,0.0001,117.12957715988159,-315.253382694478,0.0001,19200,200.0,,,,,,4.537645,6.5121803
96,0.0001,118.21766948699951,-305.5563258127346,0.0001,19400,200.0,,,,,,4.487368,6.615129
97,0.0001,119.77949595451355,-310.5563254961985,0.0001,19600,200.0,,,,,,4.484521,6.5181637
98,0.0001,121.38822889328003,-311.7379198213671,0.0001,19800,200.0,,,,,,4.5844393,6.4664807
99,0.0001,123.00177454948425,-313.3655103513113,0.0001,20000,200.0,,,,,,4.5231504,6.432972
100,0.0001,124.15768647193909,-313.8089512032384,0.0001,20200,200.0,,,,,,4.5257998,6.5140986
101,0.0001,125.78690075874329,-309.73137608722976,0.0001,20400,200.0,,,,,,4.4961486,6.561805
102,0.0001,126.93480515480042,-311.17554554109876,0.0001,20600,200.0,,,,,,4.503746,6.424038
103,0.0001,128.11468410491943,-310.4210017391932,0.0001,20800,200.0,,,,,,4.497166,6.4652367
104,0.0001,129.2705636024475,-304.6384415013523,0.0001,21000,200.0,,,,,,4.5504937,6.6183567
105,0.0001,130.9241783618927,-310.52479883931017,0.0001,21200,200.0,,,,,,4.5568213,6.631198
106,0.0001,132.61063861846924,-313.6344449305163,0.0001,21400,200.0,,,,,,4.5956864,6.656677
107,0.0001,133.7197072505951,-313.950375878429,0.0001,21600,200.0,,,,,,4.587263,6.625573
108,0.0001,135.33735275268555,-310.74662484575146,0.0001,21800,200.0,,,,,,4.6020536,6.5829005
109,0.0001,136.44539070129395,-309.36621922754796,0.0001,22000,200.0,,,,,,4.607936,6.6980987
110,0.0001,138.05113220214844,-310.7048832829555,0.0001,22200,200.0,,,,,,4.669798,6.665476
111,0.0001,139.68973016738892,-306.06835555022667,0.0001,22400,200.0,,,,,,4.6226406,6.728098
112,0.0001,141.27548503875732,-309.7079166909371,0.0001,22600,200.0,,,,,,4.630826,6.645665
113,0.0001,142.904132604599,-311.99069934373074,0.0001,22800,200.0,,,,,,4.602153,6.56464
114,0.0001,144.513831615448,-312.2945421970414,0.0001,23000,200.0,,,,,,4.620218,6.53462
115,0.0001,145.61688375473022,-294.34513146451,0.0001,23200,200.0,,,,,,4.6706915,6.726294
116,0.0001,146.75005078315735,-314.37331081537116,0.0001,23400,200.0,,,,,,4.608558,6.7717037
117,0.0001,148.3754825592041,-308.6861074719836,0.0001,23600,200.0,,,,,,4.6054473,6.7267475
118,0.0001,149.49448108673096,-311.9270399046006,0.0001,23800,200.0,,,,,,4.5837116,6.615551
119,0.0001,150.59851026535034,-313.9558032777299,0.0001,24000,200.0,,,,,,4.598399,6.739452
120,0.0001,151.6816430091858,-309.7546711321481,0.0001,24200,200.0,,,,,,4.5735497,6.619776
121,0.0001,153.3338828086853,-310.6336677550494,0.0001,24400,200.0,,,,,,4.6084785,6.6716228
122,0.0001,154.45389032363892,-309.46760534616124,0.0001,24600,200.0,,,,,,4.6211314,6.5992126
123,0.0001,156.03267741203308,-309.9283077221314,0.0001,24800,200.0,,,,,,4.642911,6.5607185
124,0.0001,157.6204035282135,-307.1147455832658,0.0001,25000,200.0,,,,,,4.621684,6.7327757
125,0.0001,159.2151415348053,-300.4854000851459,0.0001,25200,200.0,,,,,,4.6620345,6.722782
126,0.0001,160.29924488067627,-309.3516046270696,0.0001,25400,200.0,,,,,,4.6822343,6.578874
127,0.0001,161.3773956298828,-312.9955345044298,0.0001,25600,200.0,,,,,,4.6649737,6.767927
128,0.0001,162.95717549324036,-307.54837140895785,0.0001,25800,200.0,,,,,,4.6098804,6.6962714
